Algorithm,Set,RMSE,IFT_Actual,IFT_Prediction,Residual,Standarized,Set Overall Results,R,RMSE,
XGB,Training,0.000187865,25,25.01370638,-0.01370638,-0.029922588,Training,0.996056744,0.793704306,
XGB,Training,4.66166E-05,18.4,18.40682763,-0.006827635,-0.025700744,Testing,0.940323147,2.590248856,
XGB,Training,0.020865838,14.928,15.07245012,-0.144450123,-0.110166834,Validation,0.95267091,2.378023629,
XGB,Training,0.000861492,1.43,1.400648811,0.029351189,-0.003495915,,,,
XGB,Training,2.87411E-06,0.92,0.921695319,-0.001695319,-0.022550774,,,,
XGB,Training,1.92915E-08,2.64,2.639861106,0.000138894,-0.021425022,,,,
XGB,Training,3.31441E-06,8.4,8.398179448,0.001820552,-0.020392901,,,,
XGB,Training,0.000428911,10.129,10.10828983,0.020710167,-0.00879936,,,,
XGB,Training,0.001318889,34.2,34.16368349,0.03631651,0.000779066,,,,
XGB,Training,0.020854593,19.2,19.34441119,-0.144411193,-0.110142941,,,,
XGB,Training,0.008027343,13.35,13.26040456,0.089595443,0.033479123,,,,
XGB,Training,0.003067561,29,28.94461443,0.055385568,0.01248274,,,,
XGB,Training,0.000124096,1.43,1.441139843,-0.011139843,-0.02834737,,,,
XGB,Training,0.021517397,1.7,1.553311906,0.146688094,0.068519857,,,,
XGB,Training,0.000861492,1.43,1.400648811,0.029351189,-0.003495915,,,,
XGB,Training,0.000220448,8.54,8.554847507,-0.014847507,-0.030622957,,,,
XGB,Training,11.93067388,21.64,18.18591924,3.454080758,2.098439045,,,,
XGB,Training,0.004090107,11.3,11.23604605,0.063953946,0.0177416,,,,
XGB,Training,0.002098261,17.45,17.49580678,-0.045806776,-0.049624273,,,,
XGB,Training,0.000816502,11.523,11.5515745,-0.028574503,-0.03904793,,,,
XGB,Training,8.34921E-05,1.9,1.909137402,-0.009137402,-0.027118368,,,,
XGB,Training,0.026973149,9.724,9.559764958,0.164235042,0.079289333,,,,
XGB,Training,0.016837512,19.173,19.30275944,-0.129759441,-0.101150397,,,,
XGB,Training,0.001318889,34.2,34.16368349,0.03631651,0.000779066,,,,
XGB,Training,0.006168864,26.5,26.42145789,0.078542114,0.026695119,,,,
XGB,Training,0.000708025,3.7,3.726608742,-0.026608742,-0.03784144,,,,
XGB,Training,0.000268643,20,20.01639034,-0.016390337,-0.031569872,,,,
XGB,Training,0.000187865,25,25.01370638,-0.01370638,-0.029922588,,,,
XGB,Training,0.00096081,10.07,10.03900307,0.030996934,-0.002485835,,,,
XGB,Training,0.004348844,14,14.06594576,-0.065945763,-0.061984619,,,,
XGB,Training,11.93067388,21.64,18.18591924,3.454080758,2.098439045,,,,
XGB,Training,0.000381233,5.8,5.819525182,-0.019525182,-0.03349389,,,,
XGB,Training,8.4185E-05,21.06,21.05082476,0.009175239,-0.015878946,,,,
XGB,Training,0.000187865,25,25.01370638,-0.01370638,-0.029922588,,,,
XGB,Training,0.004664691,8.923,8.854701454,0.068298546,0.020408108,,,,
XGB,Training,6.80231E-07,21.05,21.05082476,-0.000824761,-0.022016467,,,,
XGB,Training,7.95535E-06,1.05,1.052820522,-0.002820522,-0.02324137,,,,
XGB,Training,11.87435942,14.74,18.18591924,-3.445919242,-2.136450434,,,,
XGB,Training,0.012514741,26.2,26.3118693,-0.111869302,-0.090170287,,,,
XGB,Training,0.018854407,20.8,20.93731135,-0.13731135,-0.105785397,,,,
XGB,Training,0.000373687,4.7,4.719330992,-0.019330992,-0.033374706,,,,
XGB,Training,0.023150126,28,27.84784834,0.152151656,0.07187313,,,,
